"country","denominations__001","denominations__002","denominations__003","denominations__004","denominations__005","~"
"Dominican Republic","4","6","9","20","",""
"French Polynesia","3","6","10","24","",""
"Belarus","4","6","9","20","",""
"Trinidad and Tobago","4","6","10","","",""
"Ukraine","4","6","9","","",""
"Cyprus","4","6","9","20","",""
"Jersey","4","6","9.2","","",""
"Ecuador","4","10","","","",""
"Reunion","4","6","10","","",""
"Isle of Man","4","6","9.2","","",""
"Suriname","4","10","","","",""
"Moldova","4","6","9","","",""
"Nicaragua","4","10","","","",""
"Lebanon","6","9","","","",""
"Pakistan","4","6","9","","",""
"Sri Lanka","4","6","9","","",""
"Georgia","4","6","9","","",""
"Gibraltar","4","6","10","20","",""
"Azerbaijan","5","10","","","",""
"French Guiana","4","6","9","20","",""
"American Samoa","4","6","10","20","",""
"Mauritius","6","","","","",""
"Iraq","4","6","9","","",""
"Bosnia and Herzegovina","4","6","9","","",""
"Vietnam","4","6","9","20","",""
"Kazakhstan","6","9","20","","",""
"Afghanistan","0","","","","",""
"Albania","0","","","","",""
"Algeria","0","","","","",""
"Angola","0","","","","",""
"Armenia","0","","","","",""
"Bangladesh","0","","","","",""
"Barbados","0","","","","",""
"Belize","0","","","","",""
"Benin","0","","","","",""
"Bhutan","0","","","","",""
"Bolivia","0","","","","",""
"Botswana","0","","","","",""
"Brunei","0","","","","",""
"Burkina","0","","","","",""
"Burma (Myanmar)","0","","","","",""
"Burundi","0","","","","",""
"Cambodia","0","","","","",""
"Cameroon","0","","","","",""
"Cape Verde","0","","","","",""
"Central African Republic","0","","","","",""
"Chad","0","","","","",""
"Comoros","0","","","","",""
"Congo","0","","","","",""
"Congo, Democratic Republic of","0","","","","",""
"Djibouti","0","","","","",""
"Dominica","0","","","","",""
"East Timor","0","","","","",""
"Equatorial Guinea","0","","","","",""
"Eritrea","0","","","","",""
"Ethiopia","0","","","","",""
"Gabon","0","","","","",""
"Gambia","0","","","","",""
"Ghana","0","","","","",""
"Grenada","0","","","","",""
"Guinea","0","","","","",""
"Guinea-Bissau","0","","","","",""
"Guyana","0","","","","",""
"Haiti","0","","","","",""
"Iceland","0","","","","",""
"Iran","0","","","","",""
"Iraq","0","","","","",""
"Ivory Coast","0","","","","",""
"Jamaica","0","","","","",""
"Kazakhstan","0","","","","",""
"Kenya","0","","","","",""
"Kiribati","0","","","","",""
"Korea, North","0","","","","",""
"Kyrgyzstan","0","","","","",""
"Laos","0","","","","",""
"Macedonia","0","","","","",""
"Madagascar","0","","","","",""
"Malawi","0","","","","",""
"Maldives","0","","","","",""
"Mali","0","","","","",""
"Marshall Islands","0","","","","",""
"Mauritania","0","","","","",""
"Mauritius","0","","","","",""
"Micronesia","0","","","","",""
"Mongolia","0","","","","",""
"Montenegro","0","","","","",""
"Mozambique","0","","","","",""
"Namibia","0","","","","",""
"Nauru","0","","","","",""
"Nepal","0","","","","",""
"Niger","0","","","","",""
"Nigeria","0","","","","",""
"Palau","0","","","","",""
"Papua New Guinea","0","","","","",""
"Rwanda","0","","","","",""
"Saint Kitts and Nevis","0","","","","",""
"Saint Lucia","0","","","","",""
"Sao Tome and Principe","0","","","","",""
"Senegal","0","","","","",""
"Seychelles","0","","","","",""
"Sierra Leone","0","","","","",""
"Solomon Islands","0","","","","",""
"Somalia","0","","","","",""
"South Sudan","0","","","","",""
"Sudan","0","","","","",""
"Swaziland","0","","","","",""
"Syria","0","","","","",""
"Tajikistan","0","","","","",""
"Togo","0","","","","",""
"Tonga","0","","","","",""
"Tunisia","0","","","","",""
"Turkmenistan","0","","","","",""
"Tuvalu","0","","","","",""
"Uganda","0","","","","",""
"Uzbekistan","0","","","","",""
"Vanuatu","0","","","","",""
"Yemen","0","","","","",""
"Zimbabwe","0","","","","",""
